`#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2019 03 15 07 00  2.3  2.3 12.9  0.3  3.8   W WSW      SWELL  8.9 272
2019 03 15 06 00  2.3  2.3 12.9  0.3  3.8 WNW   W      SWELL  8.6 289
2019 03 15 05 00  2.5  2.5 10.0  0.3  3.3   W WSW    AVERAGE  8.9 274
2019 03 15 04 00  2.4  2.4 12.9  0.3  4.0 WNW WSW      SWELL  8.6 284
2019 03 15 03 00  2.3  2.3 10.8  0.3  4.0   W   W      SWELL  8.4 274
2019 03 15 01 00  2.8  2.8 10.8  0.4  3.8 WNW WSW    AVERAGE  8.8 285
2019 03 15 00 00  2.6  2.6 12.1  0.4  3.2 WNW WSW      SWELL  8.6 297
2019 03 14 23 00  2.7  2.6 12.9  0.3  3.8 WNW   W      SWELL  8.7 289
2019 03 14 22 00  2.6  2.6 13.8  0.4  3.4 WNW   W      SWELL  8.6 290
2019 03 14 21 00  2.6  2.6 11.4  0.3  3.8 WNW WSW      SWELL  8.9 290
2019 03 14 20 00  2.2  2.2 13.8  0.3  3.4 WNW WSW      SWELL  8.7 282
2019 03 14 18 00  2.1  2.0 13.8  0.3  3.4 WNW WSW      SWELL  8.8 283
2019 03 14 17 00  1.8  1.8 12.9  0.3  3.7  NW WSW      SWELL  8.3 305
2019 03 14 16 00  1.8  1.8 12.1  0.3  4.0 WNW WSW      SWELL  8.6 291
2019 03 14 15 00  2.1  2.0 11.4  0.3  3.8 WNW   W      SWELL  8.8 288
2019 03 14 14 00  2.1  2.1 11.4  0.3  3.3 WNW  SW      SWELL  8.6 303
2019 03 14 13 00  2.5  2.5 12.1  0.3  3.8 WNW WSW      SWELL  9.2 300
2019 03 14 12 00  2.5  2.5 13.8  0.4  3.8 WNW   W      SWELL  9.4 302
2019 03 14 11 00  2.8  2.7 12.9  0.4  3.6 WNW  NW      SWELL  9.4 298
2019 03 14 10 00  2.9  2.8 12.1  0.4  4.0 WNW  NW      SWELL  9.4 295
2019 03 14 09 00  3.1  3.1 13.8  0.4  4.0  NW  NW      SWELL  9.2 311
2019 03 14 08 00  3.2  3.2 12.1  0.4  3.8 WNW  NW      SWELL  9.3 293
2019 03 14 07 00  3.2  3.1 12.9  0.4  4.0 WNW  NW      SWELL  9.1 293
2019 03 14 06 00  3.1  3.1 10.8  0.4  4.0 WNW NNW    AVERAGE  8.8 292
2019 03 14 05 00  3.6  3.6 13.8  0.5  4.0 WNW NNW      SWELL  9.4 289
2019 03 14 04 00  3.6  3.6 13.8  0.4  3.8 WNW NNW      SWELL  9.3 295
2019 03 14 03 00  3.6  3.6 12.1  0.4  3.4 WNW  NW      SWELL  9.7 289
2019 03 14 02 00  3.8  3.7 10.8  0.4  3.6 WNW NNW    AVERAGE  9.4 296
2019 03 14 01 00  4.0  3.9 12.9  0.4  3.6 WNW  NW      SWELL  9.9 290
2019 03 14 00 00  3.9  3.9 14.8  0.4  4.0 WNW  NW      SWELL  9.7 292
2019 03 13 23 00  3.6  3.6 14.8  0.4  3.1 WNW WNW      SWELL  9.5 287
2019 03 13 22 00  3.9  3.8 13.8  0.5  3.8 WNW   W      SWELL  9.6 295
2019 03 13 21 00  3.8  3.8 14.8  0.5  4.0 WNW WNW      SWELL  9.6 295
2019 03 13 20 00  4.0  3.9 14.8  0.6  4.0 WNW WNW      SWELL  9.3 294
2019 03 13 19 00  4.3  4.2 14.8  0.6  4.0 WNW  NW      SWELL  9.5 290
2019 03 13 18 00  4.2  4.1 14.8  0.6  4.0 WNW  NW      SWELL  9.2 293
2019 03 13 17 00  4.0  4.0 13.8  0.6  4.0 WNW  NW      SWELL  8.9 294
2019 03 13 16 00  4.1  4.0 14.8  1.0  5.0 WNW  NW      SWELL  9.0 301
2019 03 13 15 00  4.2  4.1 13.8  0.6  3.8 WNW  NW      SWELL  8.9 297
2019 03 13 14 00  3.9  3.8 16.0  0.6  3.7  NW  NW      SWELL  8.7 305
2019 03 13 13 00  3.9  3.7 16.0  1.2  5.9 WNW  NW      SWELL  8.7 289
2019 03 13 12 00  4.3  4.2 14.8  0.8  4.5 WNW  NW      SWELL  9.1 290
2019 03 13 11 00  4.1  4.0 14.8  0.9  5.3 WNW WNW      SWELL  9.3 291
2019 03 13 10 00  4.3  4.2 16.0  0.8  4.3 WNW  NW      SWELL  9.2 295
2019 03 13 09 00  4.0  3.9 14.8  0.8  5.0 WNW WNW      SWELL  9.2 294
2019 03 13 08 00  4.1  4.0 16.0  1.1  4.8 WNW WNW      SWELL  9.4 296
2019 03 13 07 00  4.1  3.5 14.8  2.1  7.7 WNW WNW      SWELL  8.8 295
2019 03 13 06 00  4.4  3.9 14.8  1.9  7.1 WNW  NW      SWELL  9.0 300
2019 03 13 05 00  3.8  3.4 12.9  1.7  6.2 WNW  NW      SWELL  8.5 297
2019 03 13 04 00  4.1  3.6 16.0  2.1  8.3 WNW WNW      SWELL  9.0 296
2019 03 13 03 00  4.5  3.8 16.0  2.4  6.7 WNW WNW      SWELL  8.7 295
2019 03 13 02 00  4.5  3.8 16.0  2.3  8.3  NW WNW      SWELL  9.1 306
2019 03 13 01 00  3.9  3.2 16.0  2.2  7.1 WNW WNW      SWELL  8.2 292
2019 03 13 00 00  4.7  4.1 16.0  2.3  7.7 WNW WNW      SWELL  9.4 288
2019 03 12 23 00  4.5  4.1 16.0  1.9  7.1 WNW WNW      SWELL  9.2 292
2019 03 12 22 00  4.7  4.1 16.0  2.1  6.7 WNW WNW      SWELL  9.3 293
2019 03 12 21 00  4.8  4.1 16.0  2.5  9.1   W WNW      SWELL  9.5 280
2019 03 12 20 00  5.0  4.5 17.4  2.0  5.9 WNW WNW      SWELL  9.8 289
2019 03 12 19 00  5.2  4.4 16.0  2.8  7.7 WNW WNW      SWELL  9.4 293
2019 03 12 18 00  4.9  4.2 16.0  2.5  7.1 WNW WNW      SWELL  9.5 288
2019 03 12 17 00  4.5  3.9 17.4  2.2  6.7 WNW WNW      SWELL  9.2 300
2019 03 12 16 00  4.3  3.6 14.8  2.4  7.1 WNW WNW      SWELL  9.0 286
2019 03 12 15 00  4.8  4.3 17.4  2.0  7.1 WNW WNW      SWELL  9.9 299
2019 03 12 14 00  4.5  4.0 17.4  2.0  7.1 WNW   W      SWELL  9.9 302
2019 03 12 13 00  4.4  3.9 17.4  2.0  7.7 WNW WNW      SWELL  9.4 298
2019 03 12 12 00  4.0  3.5 17.4  2.1  8.3 WNW WNW      SWELL  8.8 301
2019 03 12 11 00  4.1  3.6 17.4  1.9  6.7 WNW WSW      SWELL  8.7 300
2019 03 12 10 00  3.7  3.3 19.0  1.8  6.7 WNW WSW      SWELL  8.0 285
2019 03 12 09 00  4.4  3.7 19.0  2.4  8.3 WNW   W      SWELL  9.1 289
2019 03 12 08 00  4.4  3.6 19.0  2.5  8.3 WNW WNW      SWELL  8.7 297
2019 03 12 07 00  5.0  3.9 19.0  3.0  8.3   W   W      SWELL  8.6 262
2019 03 12 06 00  4.4  3.4 19.0  2.8  9.1   W   W      SWELL  8.2 281
2019 03 12 05 00  4.1  3.4 21.1  2.4  5.6   W  SW      SWELL  8.0 266
2019 03 12 04 00  4.2  3.4 21.1  2.5  4.2   W SSW      SWELL  8.2 266
2019 03 12 03 00  3.6  2.9 21.1  2.1  7.7 WSW   W      SWELL  7.9 250
2019 03 12 02 00  2.8  2.3 14.8  1.6  7.7   W WNW      SWELL  7.2 275
2019 03 12 01 00  2.6  2.4 13.8  1.2  4.5 WNW  SW      SWELL  7.5 287
2019 03 12 00 00  2.6  2.4 14.8  0.9  3.8 WNW SSW      SWELL  8.2 295
2019 03 11 23 00  2.5  2.3 13.8  0.8  3.8   W   S      SWELL  8.3 269
2019 03 11 22 00  2.4  2.3 13.8  0.9  4.0   W   S      SWELL  8.0 279
2019 03 11 21 00  2.3  2.2 14.8  0.8  3.7 WNW   S      SWELL  7.9 301
2019 03 11 20 00  2.3  2.2 13.8  0.7  3.3   W   S      SWELL  8.3 269
2019 03 11 19 00  2.4  2.3 14.8  0.6  3.4 WNW SSE      SWELL  8.4 287
2019 03 11 18 00  2.2  2.1 12.1  0.6  3.2 WNW  SE      SWELL  8.2 288
2019 03 11 17 00  2.2  2.2 14.8  0.5  3.2   W  SE      SWELL  9.0 280
2019 03 11 16 00  2.3  2.2 14.8  0.5  3.0 WNW  SE      SWELL  9.5 282
2019 03 11 15 00  2.4  2.4 12.9  0.4  3.4 WNW   N      SWELL 10.0 291
2019 03 11 14 00  2.5  2.5 12.9  0.3  3.7 WNW   N      SWELL 10.0 293
2019 03 11 13 00  2.6  2.5 13.8  0.3  3.8 WNW NNW      SWELL 10.4 291
2019 03 11 12 00  2.6  2.6 14.8  0.3  4.0 WNW   N      SWELL 10.4 296
2019 03 11 11 00  2.8  2.8 13.8  0.3  3.4 WNW NNW      SWELL 10.7 296
2019 03 11 10 00  3.0  2.9 14.8  0.3  4.0 WNW NNW      SWELL 10.9 303
2019 03 11 09 00  3.0  3.0 13.8  0.3  4.0 WNW NNW      SWELL 10.8 302
2019 03 11 08 00  3.1  3.1 13.8  0.4  3.7 WNW NNW      SWELL 10.7 284
2019 03 11 07 00  2.9  2.8 16.0  0.7  4.8 WNW NNW      SWELL  9.7 286
2019 03 11 06 00  3.1  3.0 14.8  0.8  4.5 WNW NNW      SWELL  9.5 301
2019 03 11 05 00  3.3  3.2 16.0  0.8  4.0 WNW   N      SWELL  9.8 293
2019 03 11 04 00  3.5  3.4 16.0  0.9  4.2 WNW   N      SWELL 10.2 286
2019 03 11 03 00  3.7  3.6 16.0  0.8  3.8  NW   N      SWELL 10.7 305
2019 03 11 02 00  3.2  3.2 16.0  0.6  3.2 WNW   N      SWELL 11.1 296
2019 03 11 01 00  3.1  3.0 17.4  0.5  4.0 WNW NNW      SWELL 10.9 292
2019 03 11 00 00  3.4  3.3 16.0  0.6  4.0 WNW   N      SWELL 11.3 293
2019 03 10 23 00  2.7  2.7 17.4  0.5  3.6 WNW   N      SWELL 11.2 295
2019 03 10 22 00  3.2  3.2 17.4  0.4  4.2 WNW NNW      SWELL 13.1 301
2019 03 10 21 00  3.0  3.0 17.4  0.4  4.2 WNW NNW      SWELL 12.8 298
2019 03 10 20 00  2.7  2.6 17.4  0.4  3.8 WNW   N      SWELL 11.5 299
2019 03 10 19 00  2.7  2.7 17.4  0.4  3.1 WNW   E      SWELL 11.2 297
2019 03 10 18 00  2.6  2.6 17.4  0.6  5.0 WNW   N      SWELL 10.4 285
2019 03 10 17 00  3.1  3.1 17.4  0.6  5.0 WNW   N      SWELL 12.4 293
2019 03 10 16 00  2.5  2.5 19.0  0.4  4.2 WNW NNW      SWELL 11.8 299
2019 03 10 15 00  2.4  2.4 17.4  0.4  2.7 WNW ENE      SWELL 11.4 289
2019 03 10 14 00  2.5  2.5 19.0  0.3  3.6 WNW   N      SWELL 11.9 293
2019 03 10 13 00  2.1  2.0 17.4  0.4  3.6 WNW NNW      SWELL 10.7 299
2019 03 10 12 00  2.3  2.3 19.0  0.3  3.8 WNW   N      SWELL 11.7 299
2019 03 10 11 00  2.7  2.7 17.4  0.4  4.2  NW   N      SWELL 12.5 307
2019 03 10 10 00  2.3  2.2 17.4  0.6  4.8 WNW NNW      SWELL 10.2 297
2019 03 10 09 00  2.4  2.3 19.0  0.6  4.8 NNW NNW      SWELL 10.7 332
2019 03 10 08 00  2.4  2.3 19.0  0.7  4.8  NW NNW      SWELL 10.2 304
